name,content
카이든,야… 야.. 안일어나?
갈런,….
카이든,"어쭈,  야 안 일어나냐?"
카이든,"야, 야, 지금 나한테 대드는거야? 안 일어나? 거기 너, 책상 치워."
갈런,아… 왜 또 그러는데?
카이든,또 니가 이상한거 만들어놔서 내 기분이 나빠졌잖아!!
갈런,무슨 소리.. 아 그거? (웃으며)재미있지않아?
카이든,하.. 아니 어이없네. 내가 전부터 이딴 이상하고 소름끼치는 것 만들어 내지 말라고 했지?
갈런,그랬나?
카이든,맨날 맞아도 기억을 못해요. 이러니 친구하나 없지. 얘들아~
갈런,잠깐 애들아. 못보는 척 하지만 말고 얘네들 좀 말려봐.
카이든,글쎄… 니 말을 들을까? 너라면 누구의 말을 들을 것 같아? 나 같아도 안듣겠다. 너의 편은 아무도 없어.
카이든,애들아 오늘도 이 친구 손 좀 봐주자.
친구들,하하하하하
갈런,음...오랜만에 즐거운 꿈이였네. (문을 나가며)그럼 시작해볼까?오늘
갈런,안녕? 카이든? 
갈런,네가 말한 그 소름끼치고 이상한.. 뭐 어쩌고 저쩌고 그거. 그것 좀 한 번 같이 즐겨보자고~.
갈런,넌 왜 이해를 못할까~. 머리 나쁜 카이든~. 내가 즐겁다고 했잖아~.
갈런,네가 즐겁게 해줄게.
갈런,너가 머리를 계속 때려준 덕분에 즐거운 것들이 마구마구 생각나.
갈런,머리 나쁜 카이든이 도움도 되네~.
갈런,넌 나를 때렸어. 그냥 기분 나쁘다고. 참 나쁜 아이였어~.
갈런,네 소중한 발명품들...내 소중한! 대회작품들...
갈런,"다 부쉬고..부셨지. 그래, 그래...내거 부셔, 나도 부셔...너도 부셔..!!!"
갈런,하하하하하핳핳하 그래! 난 미쳤어!
갈런,"맞아, 원래부터 나 좀 이상했어. 근데 너 덕분에 마침내 미친거야!"
갈런,"고마워~카이든! 너덕분에 완전해졌어, 내가. 너 말대로 사람이 미친듯이 맞이면 정신을 차리나봐~!"
갈런,핳하하핳하핳 너도 한 번 정신차리게 도와줄게. 나는 신사니깐 때리는 건 그렇고...
갈런,좀 다른 것으로 정신을 차려보자고~.
카이든,갈...갈런...! 살려줘..! 미안해..내가 어리석었어...
갈런,음~...듣기 좋네. 다시 한번 더.
카이든,미...미안해! 갈런! 내가 이렇게 빌게! 제발! 내가 너무 어리석었어! 용서해줘! 그러니 제발 이것 좀 풀어줘!
갈런,"고마워. 잘 들었어, 카이든~!"
갈런,근데 풀어주지는 않을거야...
카이든,갈런! 갈런! 제발 좀 풀어줘!
갈런,"조용히!!! ... 쉬잇. 조용히 좀 해봐, 카이든."
갈런,"내가 지금 널 때린 것도 아니야, 몸에 멍들게 하지도 않았어. 그리고 다치지도 않았어."
갈런,왜 이렇게 겁 먹었어. 그냥 재밌게 해준다니깐~. 친구끼리의 장난이라 생각해. 너도 그랬잖아~.
갈런,가만히...가만히..있어. 죽고 싶지 않다면 말이야. 
