name,content
바이올렛,노렌 씨. 그렇게 슬픈 눈으로 바라보지 말아요.
노렌,"바이올렛, 당신이 이렇게 죽으면.. 나는 어떻게 해야합니까?"
노렌,"아직 당신과 하고 싶은 것들, 가보고 싶은 것들이 너무 많습니다…"
바이올렛,예전과 변함없이 사용인 그리고 아이들과 함께 즐거운 마음으로 살았으면 해요. 잘 할 수 있을거라 나는 믿어요.
노렌,나는… 당신이 없는 세상은 생각조차 할 수 없습니다.
바이올렛,노렌 씨 그거 기억하나요? 노렌씨와 처음 만났던 언덕?
노렌,당연히 기억합니다.
바이올렛,"그 때 저에게, 바이올렛을 좋아한다고 했었어요."
노렌,그랬던 기억이 있죠.
바이올렛,나는 바이올렛이란 꽃을 좋아한다는건 줄도 모르고 혼자 어쩔줄 몰라했어요.
바이올렛,멍청해...보였나요?
노렌,"아니야, 전혀. 내가 용기가 없어서 그런거야..."
바이올렛,후훗. 
바이올렛,... 이 세상에는 내가 없어도 많은 일들이 앞으로 노렌씨를 기다리고 있을거에요.
바이올렛,"나를 잊게 해줄 수 있는 즐거운 취미도 있을 것이도, 같은 취미를 가진 사람들을 만나고..."
바이올렛,아이들의 성장을 보고...같이 이야기하고...
바이올렛,그렇게 사람들과 어울리다보면 자연스럽게 괜찮아 질거에요.
바이올렛,이별의 슬픔이 자연스럽게 없어질 거에요...
노렌,하지만 나는...
바이올렛,까마득한 저편에서 노렌씨와 아이들이 편안히 앞으로의 길을 걸을 수 있도록 지켜볼게요.
바이올렛,나중에 재회했을 때 후회없이.. 즐겁게 살아왔다고 약속해 줄 수 있죠?
노렌,약속...약속하겠습니다..! 그러니 제발... 이제 말을 줄어주세요..바이올렛
바이올렛,"비록 당신과의 결혼 생활도, 아이들과의 시간도 짧았지만... "
바이올렛,너무나도 행복하고 즐거운 삶이었어요.
바이올렛,노렌씨 부디 슬퍼하지 마세요.
바이올렛,"사랑해요, 노렌."
노렌,바이올렛...바이올렛!
