name,content
앞집 친구,"아니, 나는 이게 궁금하다 말이야. 이게 뭐야?"
앞집 친구,아니라고! 아니라고오!!
앞집 며느리,"아버님, 아버님! 진정하세요."
앞집 친구 부인,여보 괜찮아. 며늘아기도 온 좋은 날에 왜 그려
리암,"어쩌다 이렇게 되었을까, 친구…"
리암 부인,"여보, 어서 와서 저녁 드세요."
리암 아들,아버지 어서 오세요.
리암 손주,"할아부지, 오늘 레몬파이 너무 너무 맛있을 것 같아."
리암 아들 아내,"아들, 디저트는 식사 다 하고 맛있게 먹자."
리암 아들 손녀,할아부지 빨리와~!
,(따듯한 분위기가 풍기는 가족들과 식탁을 바라보며 행복을 느끼지만 아무도 모르게 고뇌에 잠기며 저녁식사를 한다)
,(저녁식사를 마치고 아들가족들을 문앞에서 배웅해준다)
,(그리고 아내를 부르며)
리암,"여보, 할 이야기가 있어."
리암 부인,무슨 일이에요?
리암,많이 고민하고 고민해서 이제는 말해야 된다고 생각했어.
리암 부인,새삼스럽게 왜 그래요.
리암,만약 내가...앞집 친구처럼 된다면 어떨 것 같아?
리암 부인,...여보? 왜 그래요… 그런 일 없을 거에요.
리암,아니 그니깐 어떨 것 같냐고…
리암 부인,…
리암 부인,요즘 내가 이상한거 느끼지 않았어? 저번에 여보가 아침 일찍 나갔을 때 전날에 나간다고 말 해줬는데도 기억 못하고 여보를 찾아 나섰잖아.
리암 부인,응…. 근데 그건 한번이잖아요. 절대 병 든게 아닐거에요.
리암,그러면 내가 집주소도 기억 못해서 마을에서 떠돌아다녔을 때는? 그것도 한번이야? 아니잖아 여보… 내가 생각해도 이상해서 병원에 다녀왔어. 의사가 뭐라는지 알아? 병이 맞데… 병이 든거래… 나는 병이든거야… 병이…
리암 부인,여보…
리암,"나는 있잖아, 망각이 두려워. 내가 나를, 추억을, 가족을 기억할 때 죽고 싶어."
리암,그러니 여보 부탁할게. 이제는 나를 놓아줘. 여보와 함께한 날들은 이로 말할 수 없을 정도로 행복했어. 함께 해줘서 고마워.
리암,"그리고 여보, 미안해. 이기적인 나지만 끝까지 나와 함께 해줬으면 좋겠어."
