name,content
마야,닉! 창문을 열어봐~오늘 햇빛이 아주 좋아.
닉,그렇구나…
마야,"일어나자~일어나~이불도 털고, 옷도 갈아입고!"
마야,"오늘, 같이 메리 아주머니 뵈러 가기로 했잖아."
닉,다음에 가면 안될까?
마야,오늘 가기 싫어?
닉,응 오늘은 누나랑 같이 산책 가고 싶어.
마야,음..그래! 아야 아주머니께 말해둘게. 그면 오늘은 산책만 가자.
마야,"자, 네가 좋아하는 샬롯의 노래야. 노래 들으면서 준비하자."
라디오,가수 샬롯이 행방실종...7일 후 xx거리에서 숨진 채 발견.
닉,...!
마야,닉...
닉,"아 누나! 아니야 아니야 나 괜찮아. 조금 슬프지만, 누나가 걱정할 정도는 아니야."
마야,후..있구나
마야,닉...네가 어디로 훌쩍 떠날 것 같아 너무 걱정돼.
마야,네가 막 어디로 갈 것 같아. 낮엔 그렇게 아무렇지 않게 웃으면서...왜 그렇게 힘든 표정인데.
마야,"아..어머니, 아버지 이럴 때 어떻게 해야할까요. 너무 보고 싶어요..너무..한번만이라도..보고 싶어요."
마야,닉 오늘도 햇빛이 너무 좋아~나가자
닉,그래. 가자
마야,오늘 아침은 아침에 갓짠 우유랑~
마야,"그날 이후, 며칠 지났지만 닉은 생각보다 괜찮은데? 다행이다...그 소식을 듣고 너무 불안했는데 조금 안심된다.'"
닉,"고마워 누나, 맛있다!"
마야,닉? 닉…?
마야,"닉? 닉 어딨어, 닉! 니이익!"
마을 사람들,수근수근
마야,"무슨 일이에요, 혹시 닉 못 보셨나요?"
마을 사람들,미야…닉이...
