name,content
마을촌장,"마일즈~! 마일즈! 꼭 돌아오거라, 꼭!"
마을촌장,꼭...꼭 마을축제에 오기로 약속한 것이다.
마을 사람1,마일즈씨~무거운 거 들때마다 도와주셔서 고마워요. 하지만 이번에 돌아오시면 전 강해져 있을 거에요. 그러니 꼭 돌아와서 강해진 저를 봐주세요!
마을 사람2,마일즈 너 덕분에 추수 할 때마다 항상 잘 마무리 되었어. 고마워. 그러니...꼭 돌아와. 같이 또 추수하고 뒤풀이하자고~
마을 사람3,"항상 웃는 얼굴로 인사해 주셔서 고마워요. 마을로 돌아왔을 때, 저도 활짝 웃어서 반길게요."
마일즈 어머니,사랑하는 아들...엄마는 기다릴게. 그러니...그러니! 꼭 건강히 돌아오너라.
마일즈 아버지,"아들, 아빠는 네가 자랑스럽다. 여긴 걱정말거라. 무슨일이 생기거든 이 아버지가 네 엄마를 꼭 지킬 테니깐...꼭...꼭! 살아서 돌아와야 한다...사랑한다 아들아."
마을 사람들,"마일즈, 너한테 받은게 너무 많아. 꼭 돌아와서 갚을 기회를 줘."
마을 사람들,기다리고 있을테니~!
,"(2년 동안 전쟁이 이어졌고, 마일즈은 정말 운 좋게 살아서 마을로 돌아왔다.)"
마을 촌장,마일즈...? 마일즈?! 마일즈가 왔다!! 마일즈이 돌아왔다고!
마을 사람들,"마일즈이라고?마일즈?!! 어서 오라고, 정말로...정말로 다행이야!"
마을 사람들,무사히 돌아오길 기도했다고~!
마을 촌장,자자 다들 진정하시게. 제이든! 얼른 집부터 가게. 부모님이 기다리실거야.
마일즈,어머니...아버지...저 다녀왔습니다.
마일즈 어머니,"마일즈이니...?마일즈~! 아이고 내 새끼, 아이고"
마일즈 아버지,"어서 와라, 정말로 다행이야. 다행이라고"
,"(마을 떠나 전쟁터로 나가기 전, 마일즈는 마을 모두에게 배웅 받을만큼 착하고 성실한 잘생긴 청년이었다. 하지만"
,전쟁에서 돌아온 그는 점점 집 밖을 나가지 않고 있다.)
???,"날 버리지마, 날 두고 가지마!"
???,"으악, 살려줘 죽기 싫어!!"
???,내 다리가...내 다리가..!!!
???,폭격이다!!!!
???,"날 두고 가지마, 마일즈.. .마일즈!"
마일즈,안돼...안돼....!'
마일즈,안돼!!!
마일즈,허억...허억....꿈..인건가..
???,꿈이 아니야.
,(굉음 소리) 푸슈슈유욱 펑
마일즈,뭐야..!폭탄?폭탄?!
???,넌 날 두고 갔어.
마일즈,"뭐야, 누구야? 누구야?!"
???,넌 날 두고 갔어.
마일즈,"뭐야,뭐야?! 아니야...난 그러지 않았어..!"
마일즈,그러지 않았다고...!
