name,content
벤,아 공장주님 어서오세요~바쁘실텐데 어쩐 일로
공장주,"농땡이 안치고 일 잘하나 보러왔지, 물이나 한 잔 주게."
벤,"아휴 다들 잘하고 있죠, 물 한 잔 얼른! 드리겠습니다!"
공장주,음...이번에 인력 좀 줄일려고 하네. 좀 큰 규모로 진행 될 것 같아
공장주,이 인력 줄이는데 자금을 써야해서 이번 달 월급은 조금 늦을 것 같군.
벤,네? 지난번에도 월급...아니 그 전에 대규모 해고라뇨?
공장주,예끼! 내가 언제 대규모라 했어? 조금 큰 규모로 라고 했지.
공장주,걱정마. 자네는 내가 '아끼는' 사람이니 서류에서 제외 시킬거야.
벤,"아끼기는...올 때마다 하인마냥 부려먹고, 어떻게해야 더 일시키고 돈 적게 줄까 생각하면서'"
벤,그럼 다른 직원들은...
공장주,기껏 생각해서 제외 시킨다고 말했더니. 니가 지금 다른 사람 처지 신경 쓸 때야?
벤,"아니.!.아닙니다, 감사합니다."
공장주,그래서 그렇다고. 월급은...내가 최대한 빨리 주도록 해볼게.
벤,지난번에도 그렇게 말하고 어물쩡 넘어갔으면서'
벤,하하 알겠습니다.
벤,"어머니, 다녀왔습니다"
벤의 어머니,마일즈 어서와. 좋은 소식이 있어! 돈이..!돈이 생겼어~!
벤의 어머니,"아니 글쎄 오늘 신호등을 기다리는데 이렇게 이렇게하고 계약하면 이자 없고, 돈도 50프로만 갚으면 된다고 하면서 말이야."
벤,뭐라고? 어머니! 내가 함부로 모르는 사람한테 돈 빌리는 거 아니라고 했잖아!!!!
벤의 어머니,"아니, 기껏 좋은 계약 가져왔는데 왜 화내니? 진짜 이번엔 괜찮다니까"
벤,"아 제발!!! 몇 번이나 당했으면 호구같이 또 당하지 말고, 사람도 믿지마!!!"
벤,"그거 사기라고. 몇 번을 말해, 몇 번을! 얼마나 말해야 알아들을 거예요? 안 그래도 돈 없어서 미치겠는데 왜 계속 사고를 치시냐고요."
벤,"하....이번엔 회사에서 대규모 해고에, 월급도..."
벤,"왜 계속...힘들게 만드냐고요...우리도 좀 벗어나보자고요....! 이 가난에서, 돈에서. 제에발!!"
벤,하...
벤의 어머니,...
,(일주일 후)
벤,"어머니, 다녀왔습니다"
벤,어머니? 음...편지?
어머니의 편지,내 아들 마일즈. 안녕하니? 편지로 인사하려니 어색하구나.
어머니의 편지,미안하구나. 엄마가. 어릴때부터 가난에 널 힘들게 만들었구나.
어머니의 편지,가난을 이겨내려고 노력하는 널 아는 사람이 항상 널 힘들게 만들고.
어머니의 편지,내가 내 자식에게 할 수 있는 말이 미안하다 밖에 없구나. 정말로.
어머니의 편지,내가 마지막으로 너에게 줄 수 있는 건 이것 밖에 없구나.
어머니의 편지,17일에 중앙 은행에 가고 엄마 이름과 이 번호를 대며는 작지만...그래도 지금까지의 빚을 갚는데 도움이 될거야.
어머니의 편지,마지막으로 엄마가 주는 선물이라 생각해.
어머니의 편지,그리고 엄마는...이제라도 정신 차려서 돈 벌러 갔어. 돈 다 갚을 때가 되면 돌아올게.
어머니의 편지,"미안하구나...사랑한다, 우리 아들."
어머니의 편지,19nn년 8월 12일. 마일즈를 사랑하는 어머니가.
벤,어머니...? 돈 벌러가셨다고요....?거짓말...거짓말...
벤,거짓말....! 내가 모를...줄 알고...요즘 어머니 지병이 심해지셨는데…설마..
벤,어머니 지난 번에 심한 말해서 죄송해요. 어머니...어머니...
벤,제가 생각하는 그 나쁜 생각 아니죠...어머니? 돈이 어디에 있다고..제발 어머니...
벤,어머니...
