name,content
애런,다음생에는 신분 차별이 없는 세상에서 엘리을를 만나 자식들과 함께 즐겁게 살고 싶네요.
엘리,저는 다음생에도 애런을 만날 수있거라고 믿어요. 그렇죠?
애런,그럴거라 믿어요. 그럼 안녕...엘리..
엘리,또 봐요.. 애런
주인장,당신의 선택이 최고의 선택이 되기를.
,
애런,으.. 여긴 어디...지...?
엘리,이제야 일어났나요. 당신! 
애런,하하... 미안해요. 잠시 그 시절의 꿈을 꾸었어요.
엘리,그 시절이요?
애런,우리가 한창 도망다녔을적 말이에요.
엘리,아 그 때는 정말 정신 없었어요.
엘리,하지만 마지막을 같이 그대와 죽음을 맞이하고.
엘리,이렇게...정말 마지막 소원처럼 당신을 다시 만나게 될줄은...
엘리,"다시 생각해도 정말 행복해요, 애런."
애런,"나도야. 이렇게 또 다른 삶과 생에서 당신을 만나다니. 정말 사랑해, 엘리."
엘리,"저도요, 애런."
엘리,그 가게에 가기를 잘한 것 이었나봐요...신이 주신 기회에요.
애런,맞아. 정말 감사히 살거야.
벤틀리,엄마~아빠~!!
마들린,이 화관 내가 만들었다~! 이거 엄마 줄게! 아빠는 꽃다발!
엘리,"후훗. 고맙구나, 아가."
애런,"어이쿠, 벤틀리. 힘이 넘치는군! 하하. 마들린, 꽃다발 고맙구나. 집에가서 화병에 나야겠는걸?!"
엘리,"마들린, 벤틀리. 이제 그럼 집에 갈까?"
벤틀리,"싫어요. 더 놀고 싶어요, 엄마."
마들린,"맞아요, 엄마!"
엘리,이제 저녁 먹을 시간이란다. 해도 지고. 얼른 들어가자.
애런,"그래, 얼른 들어가자. 다들 놀았으니 배고프지? 맛있는 저녁 먹으러 가자."
벤틀리,"맞아, 배고파! 맛있는거, 맛있는거 먹자!"
마들린,"정말 배고프네?! 우리 후식으로 레몬파이 먹어요, 레몬파이!"
애런,"그래, 얼른 돌아가자. "
"애런, 엘리",집으로!
