name,content
이든 어머니,이든 이든...!
이든 어머니,"몇 일 동안 어디갔다 이제 온거니, 대체...!"
이든 어머니,"아가, 엄마가 미안해...엄마가 잘못했어. 얼굴 수척해진 것 좀 봐...."
이든 어머니,미안해..미안해...
이든,...뭐가 그렇게 미안한데요?
이든,뭐가...뭐가요? 지금까지 저한테 한 행동들이요...?
이든,그래도 제가 없어졌다 나타나니 걱정은 하시는군요...
이든 어머니,...
이든,"어머니, 제가 얼마나 힘들었는지 아시나요?"
이든,"어머니 저는요, 아버지한테 인정받으려고 정말 많이 노력했어요."
이든,그러면 어렸을 때처럼 어머니와 아버지와 행복하게 지낼 줄 알았어요.
이든,근데 어머니는...아버지는...
이든,"칭찬 한 마디도 안 해주시고. 그래서 인정 받을려고, 다시 행복한 가족을 만들려고..."
이든,노력하고 노력했는데 왜...왜 저를 안 봐주시나요? 저 너무 힘들었어요. 저 너무 너무 힘들었어요.
이든,그저 어머니의 따듯한 응원과 아버지의 따듯한 칭찬을 듣고 싶었어요.
이든,잘했다고 수고했다고 고생했다고...
이든,사랑한다고.
이든 어머니,이든...
이든,그저 옛날처럼 행복해지길 바랬어요.
이든,"반 1등도, 전교 1등도 했잖아요. 계속 그래왔잖아요."
이든,그런데...왜...왜!
이든,"나한테 계속 어머니, 아버지의 욕심을 강요하는건가요."
"이든 어머니, 이든 아버지",...!
이든,"왜 그러는건가요? 어머니, 아버지께서는 저를 위한 거라하지만 전 너무 숨막혀요."
이든,저를 위한 거라는 말부터가...저를 너무 숨막히게 해요.
이든,전 이런거 원하지 않아요. 저는 제가 더 잘 아는데 왜 제 의사는 듣지않고 왜 부모님이 저를 더 잘 아시는 것처럼 말하시는건가요?
이든,오히려 이것들은 저를 더 숨막히고 죽고싶게 만들었어요.
이든,살고 싶지 않게 만들었어요.
이든,..(눈물)
이든 아버지,...아버지가 정말로 미안하다. 부모로서 정말로..최악이었어.
이든 아버지,"아들 정말 미안하다, 정말로."
이든 아버지,내가 미쳤나보구나. 너한테 너무...부모로서 해서는 안될 짓들을 했어. 지금 생각해보면 미친놈이었어.
이든 아버지,어떤 말을 해도 지금 너한테 미안하다는 말밖에 안 나오는구나.
이든 아버지,나는 지금까지 네가 좋은 대학가서 좋은 곳에 취직하는 것이 너를 행복하게 해주는 것이라 생각했어.
이든 아버지,"네 의견 한 번도 물어보지 않고, 들어보지도 않고. 그냥 내 멋대로 그렇게 결정을 내렸던거야."
이든 아버지,그 잘못된 믿음이 너를 행복하게 해줄거라고 생각하고...
이든 아버지,"너를 위한 것이라 생각하고,"
이든 아버지,그게 나의 사랑이라 생각했던거야...
이든 아버지,그것이 내 아이를 힘들게 만들었고 내 욕심이었다는 사실을...이제서야 할게 되다니
이든 아버지,...
이든 아버지,"이든, 날 용서하지 않아도 된단다."
이든 아버지,하지만 기회를 한 번만 더 줄 수 있겠니...?
이든 아버지,네 부모으로서 다시 한번 있어도 되겠니...?
