name,content
케이트,안녕. 오늘도 만났네.
남자,안녕! 케이트 오늘 그 모자 잘 어울린다.
케이트,그래? 오늘 날씨가 맑아서 써봤는데 고마워.
케이트,오늘도 어디로 가서 일하니?
남자,맞아. 오늘부터 큰 마을로 가서 일을 도와주기로 했어. 꽤 오래있을 예정이여서 한동안은 마을에 없을 예정이야.
케이트,"아, 그렇구나. 잘 다녀와."
남자,그래. 그럼 이제 준비해야할 것이 많아서 가볼게.
케이트,"그래, 다음에 봐."
그룹2,야 저거 봐봐. 케이트가 원래 저 분이랑 친했나?
그룹3,그러게 트리샤님이 좋아하는거 알고도 일부러 저러는거 아니야?  빨리가서 알려드리자.
그룹2,그러자.
그룹2,트리샤님 요즘 케이트가 그 분이랑 친하게 지내고 있는거 알고 계시나요?
그룹3,방금 전에도 우연히 보았는데 친해 보이던데요?
트리샤,누구? 케이트? 
그룹1,"뭐야, 그 기집얘! 쟨 트리샤님이 그 분에게 마음을 둔 것도 모르나?"
트리샤,주제도 모르는 놈. 감히 누굴 걸 건드려.
트리샤,요근래 친해보이긴 했는데. 잘 됐어.
트리샤,안그래도 거슬렸는데 이 참에 내 눈에 안 띄게 만들어야겠어.
트리샤,뭐 좋은 방법들 있니?
그룹2,그럼... 안 좋은 소문을 퍼트리는게 어떨까요?
트리샤,어떻게?
그룹2,그 분이 케이트에 대해 안 좋은 감정이 들 수 있게 하는 것이 좋을 것 같아요.
그룹1,그러면 마침 교회에서 마녀를 잡고 있으니 이것과 연관 지으면 어떨까요?
트리샤,그렇게 하면 재미있겠구나.
,(며칠 뒤)
트리샤,케이트 너 누가 마녀라고 그러던데 사실이야?
케이트,네? 저요 ..? 처음 듣는 말이에요.
트리샤,그래? 근데 누가 어제 밤에 마을 외진 곳에서 동물과 혼잣말을 하는 것을 들었다는데?
그룹1,"맞아, 지난번에는 말도 못하는 나무한테 말을 걸지 않나."
케이트,네? 그건 까만 고양이가 너무 귀여워서...
그룹1,까~만~고양이~? 꺄악 불운의 상징이잖아~!
트리샤,케이트 그거 알아? 마녀는 우리들과 다르게 너 같이 녹색의 눈을 가졌다는데. 
그룹2,"누가 봐도 기분 나쁜 느낌이 들어요, 트리샤님."
그룹3,"트리샤님, 얼른 교회한테 말하는 것이 좋지 않을까요?"
트리샤,바로 잡혀가면 케이트가 너무 불쌍하잖니~.
케이트,사람이 아니라는데 왜 계속 그러시죠? 혹시 제가 무슨 잘못을 했나요? 애초에 저희 그렇게 친한 사이도 아니였는데 다짜고짜...
트리샤,잘못이라면 했지. 어쨌든 그.런.건. 내 알바 아니고. 너 너무 거슬려. 내가 참아줬을 때 내 눈 앞에서 사라졌어야지.
트리샤,"케이트, 마녀는 일반적인 사람들보다 상처가 생겨도 금방 낫는다는데."
케이트,지금 무슨 소리죠?
트리샤,마녀가 아니라면 증명해봐. 내가 해주지.
,(트리샤 무리에게 괴롭힘을 받는 케이트. 또래 사이에서만 퍼진 소문이 마을까지 퍼져나간다.)
그룹2,트리샤님! 소문이..마을 사람들에게까지..
그룹2,일이 너무 커져버린 것이 아닌지...
그룹1,너 지금 트리샤님과 함께한 행동에 토 다는 거니?
그룹2,"아, 아니 그런건 아니고. 근데 이러다가..."
트리샤,이정도까지 커지길 바란건 아니였는데...거짓말이 들통나면 나는 어떻게 되는거지?'
트리샤,모...모르는 척 잘 넘기면 돼..! 알겠지..?!!
"그룹1,2,3",네..! 트리샤님.
,(몇 개월이 지나 남자가 마을에 도착)
남자,케이트? 나 왔어! 오랜만에 얼굴 좀 볼 겸 밥 먹자.
케이트 엄마,누구세요?
남자,케이트 친구요. 집에 케이트 있나요?
케이트 엄마,그런...얘 우리 집에 없습니다. 
남자,네? 여기 케이트가 사는 집 아닌가요?
케이트 엄마,모르는 아이라고요.
남자,...???
