name,content
해리슨,하… 이제 어떡하면 좋나. 가족들이 편지를 봤을까? 그렇다면 내가 빚만 남기고 도망쳤다는걸 이제 알게되겠지...
해리슨,더 이상 이 근방에는 있을수 없겠지…나인걸 아무도 알아채지 못하는 곳으로가면 될까?
해리슨,"하지만 나는 거기서 어떻게, 무엇을 하며, 살아가야 하는걸까."
해리슨,가더라도 나는 가족을 잊고 혼자 살아갈수있을까? 그리고 훔치며 하루하루를 사는 도둑놈이 되어야 하는 걸까?
해리슨,이 무능한 머저리 같은놈.. 나는 왜 이렇게 사는걸까?
해리슨,이제는 나만 생각하면 되서 신경쓸것이 없지만...
해리슨,누군가 나에게 어떻게 해야할지 알려줬으면..  어떻게 해야 할지 모르겠어.
???,악!
???,당신 뭐야. 사람 잡겠네. 앞도 똑바로 못봐?
해리슨,미안합니다.
???,...?
???,해리슨? 자네 해리슨 아닌가?
해리슨,맞기는 하지만 당신은 누구요?
???,나일세! 기억안나나?
???,이 마을에 짧게 머물긴했지만 자네가 기억을 못하다니 섭하군. 
???,어릴 적 마을 공동묘지 옆에서 자주 같이 놀다가 언제 한번 크게 자빠져서 크게 흉터도 생겼는데.
해리슨,아..! 자빠진거 기억한다네. 그 때 피가 꽤나서 죽는 줄 알았지. 이름이… 아마 피터였지?
피터,이 망할 놈. 이제 기억했구만.
해리슨,하하... 미안하네. 그런데.. 여기는 어쩐일인가? 치료받고 몇개월 후 아주 멀리 떠났지 않은가? 
피터,맞지. 근데 이 근방 영주가 나를 지명했다더군. 몇년전 이 나라 왕위 쟁탈 전쟁이였나 아무튼 거기서 여기 영주와 알게 되어 여러 마을을 돌아 다니며 들었던 여러 정보나 물건을 왕창 팔았지.  그 덕분에 그 때 돈좀 만졌어. 그 것 때문에 그런가 이번에 불리게 됬지.
피터,요즘은 어떻게 살고 있나? 어릴때는 그 마을에서는 가장 잘 살지 않았나.
해리슨,...
해리슨,매...매년 농사가 풍년을 맺어서 바쁘게 살고 있지. 지금도 옆 마을에 물건을 계약하러 가는 길이었다네.
피터,"그래, 잘 살고 있다니 다행이군. 내가 듣기로는 지금 흉년이 계속이어져서 다 죽어가서 마을 하나둘 떠난다고 들었는데 아니였나보군."
피터,그런데 혼자 옆마을로 가는 건가? 누구라도 아무나 보내면 되지 않는가?
해리슨,어떻게 그럴 수 있나. 내가 직접가야 안심이 된다네.
피터,그 맘은 나도 잘 알지.
피터,이봐. 그럼 지금 모아둔 돈좀 있지?
피터,이번 일이 끝나면 나와 함께 일하나 하지 않겠나? 동쪽 대륙에서 현재 유행하는 거라네. 조금 도박이긴 하지만 운이 좋다면 크게 벌수 있을거라네.
해리슨,음..  흥미가 있긴 하지만 아까 말한거와 같이 너무 바쁘다네. 그것까지 하게 되면 힘들어 쓰러지지 않겠나?
피터,아닐세. 나한테 맡기면 내가 알아서 해주겠다네.
해리슨,하지만 지금은 조금 힘들것 같아.
해리슨,다음에 만났을때 그때 또 한번 다시 부탁해주게.
