name,content
브리아나,안녕하세요.
주인장,어서오세요.
주인장,여기 원하시는 곳에 앉으시죠.
브리아나,소문의 그 가게는 맞는거죠?
주인장,그러죠.
브리아나,...?
브리아나,그냥 주는 건가요?
브리아나,"괴담의 가게라 해도 병명이라든가, 이유라든가..."
브리아나,그런 건 안물어보는건가요?
주인장,음...
주인장,"물어보지 않아도 손님들이 자신의 삶이라든가, 그런 개인적인 이야기를 말씀해주시긴 합니다만"
주인장,사실 꼭 필요하지는 않습니다.
브리아나,그렇군요...
브리아나,저에 대해 궁금해하지 않는 사람은 오랜만인것 같아요.
브리아나,...저는 전 세계를 돌아다니며 공연중인 가수에요.
브리아나,"이런 말 뭐하지만, 저 꽤 유명하답니다. 모르는 사람이 없을 거의 없을 정도로..."
브리아나,팬들 덕분에 이 자리에 온 거죠
브리아나,물론 각오라고 이 일을 시작한 거지만 10년 가까이 이쪽을 하니깐 너무 힘들더라고요.
브리아나,다른 사람들이 보기에는 굉장히 화려한 직업이지만
브리아나,"너무 빛나서, 화려하기 때문에 그만큼 그림자가 어둡죠."
브리아나,이 자리에 오기까지 팬들의 도움도 있었지만
브리아나,저희도 엄청 노력했죠. 비정상적으로 과도한 경재들을 매번 치르고 
브리아나,그렇게 해서 오른 최정상의 자리는 불안하기만 하네요. 아무리 내가 그 자리에 올랐다하더라도 내 미래를 보장할 수 없는 불안감.
브리아나,"최상의 자리에 오래 있었기에, 이미 최고이기에 받는 부담스러운 기대들"
브리아나,"나 또한 지난 번의, 과거의 나 자신을 벗어나기 위해, 기대를 충족시키기 위해, 활동이 없는 날이면 정말 틈틈히 연습하죠."
브리아나,"매번 연습하고 노력하지만 ""기대에 충족시키지 못하면 어떻하지, 나에게 실망하면 어떻하지"" 라는 그 미칠듯한 불안감은 밤마다 나를 괴롭혀요."
브리아나,"난 행복을 주는 직업이고, 좋은 모습을 보여줘야하는 직업이기에 ' 샬롯'으로 열심히 연기하는 기분이에요."
브리아나,정작 내 자신에 대해 말하고 싶어도 말할 사람은 결국 샬롯밖에 없어요.
브리아나,샬롯처럼 웃자' 라고 나  자신에게 말하죠.
브리아나,"하.. 죽기 전, 이야기가 너무 길어졌네요."
브리아나,항상 죽음과 가까이 살아서 오늘 나의 죽음이 충동적일지라도 이 가게에 온 이상 여기서 삷을 마감하고 싶네요.
브리아나,정말 드라마틱하고 판타지 같은면서도 정말로 외롭고 고독한 삷이였어요.
브리아나,"마지막으로 제 이야기, 브리아나의 이야기를 들어줘서 고마워요."
브리아나,덕분에 브리나로서 삷을 마감할 수 있게 되었어요.
주인장,아닙니다.
브리아나,당신의 선택이 최고의 선택이 되기를....
