name,content
브리아나,안녕하세요.
주인장,어서오세요. 여기 원하시는 곳에 앉으시죠.
브리아나,소문의 그 가게는 맞는거죠?
주인공,"네, 그렇습니다."
브리아나,그럼 편안하게 죽을 수 있는 그런 약을 주세요.
주인공,알겠습니다.
브리아나,"...그냥 주시는 건가요? 소문 속의 가게라 해도 병명이라든가, 이유라든가...그런 것은 안 물어보는 건가요?"
주인공,"음...물어보지 않아도 손님들이 자신의 삶이라든가, 그런 개인적인 이야기를 말씀해주시긴 합니다만 사실 꼭 필요하진 않습니다."
브리아나,그렇군요...저에 대해 궁금해하지 않는 사람은 오랜만인 것 같아요.
브리아나,...저는 전 세계를 돌아다니며 공연하는 가수에요.
브리아나,"제 입으로 말 하기 뭐하지만, 저 꽤 유명합니다. 모르는 사람이 거의 없을정도록."
브리아나,팬들 덕분에 이 자리에 온 거죠.
브리아나,물론 각오하고 이 일을 시작한 거지만 10년 가까이 이쪽 일을 하니깐 너무 힘들더라고요.
브리아나,다른 사람들이 보기에는 굉장히 화려한 직업이지만
브리아나,"너무 빛나서, 너무 호려하기 때문에 그만큼 그림자가 어둡죠."
브리아나,이 자리에 오기까지 팬들의 도움도 있었지만
브리아나,저도 엄청 노력했죠. 비정상적으로 과도한 경쟁들을 매번 치르고
브리아나,"최상의 자리에 오래 있었기에, 이미 최고이기에 받는 부담스러운 기대들."
브리아나,"나 또한 지난 번의, 과거의 나 자신을 벗어나기 위해, 기대를 충족시키기 위해, 활동이 없는 날이면 정말 틈틈히 연습하죠."
브리아나,"매번 연습하고 노력하지만 '기대에 충족시키지 못하면 어떡하지, 나한테 실망하면 어떡하지'라는 그 미칠듯한 불안감은 밤마다 나를 괴롭혀요."
브리아나,"난 행복을 주는 직업이고, 좋은 모습을 보여줘야하는 직업이기에 '샬롯'으로 열심히 연기하는 기분이에요."
브리아나,"정작 내 자신에 대해 말하고 싶어도 말할 사람은 결국 샬롯밖에 없어요. ""샬롯처럼 웃자""라고 나 자신에게 말하죠."
브리아나,나 혼자 이겨내려고요. 하...누군가에게 어떻게 말해요. 결국 돌아오건 '그래서 샬롯이 정신병에 걸렸다는거야?'라는 가십과 이상한 시선만 쌓이겠죠.
브리아나,그리고 평생 꼬리처럼 붙이고 다니겠죠.
브리아나,대중들에게 정신병이란 이미지가 그러니깐요.
브리아나,그 미친듯한 불안감을 나혼자 해결하려고 하니 극도록 외로워졌어요.
브리아나,사람이 이렇게 너무나도 고독할 수 있구나를 느꼈어요.
브리아나,"나는 분명 팬들이 있고, 사람들이 다 알아보는 유명인인데. 이렇게나 사람에게 둘러쌓여있는데도 나혼자 덩그러니 있는 느낌이에요."
브리아나,사람이 많으면 많을 수록 나는 점점 고립되어가요.
브리아나,그리고 브리아나를 밑으로 집어넣고 샬롯을 더욱 끄집내요.
브리아나,"항상 따라다니는 파파라치, 팬을 가장한 스토커. 특히 이 사람들한테는 더욱이...더욱이 웃는 모습이여야 하죠."
브리아나,조금이라도 성질 냈다가는 어떤 기사나 소문이 날 괴롭힐지 모르니깐요.
브리아나,화나죠. 너무나도 화납니다. 내가 느끼는 감정은 너무나도 당연한건데. 저 사람들은 날 미치게 만드는 범죄자인데!
브리아나,"하지만 세상은, 적어도 이쪽 세계에서는 그러지 않아요."
브리아나,그냥 물고 뜯기 좋은 주제에 불과해요.
브리아나,"하...죽기 전, 이야기가 넌무 길어졌네요."
브리아나,항상 죽음과 가까이 살았고 오늘 나의 죽음이 충동적일지라도 이 가게에 온 이상 여기서 삶을 마감하고 싶네요.
브리아나,"정말 드라마틱하고 판타지 같으면서도 정말로 평범하기 그지없는, 외롭고 고독한 삶이었어요."
브리아나,마지막으로 제 이야기 브리아나의 이야기를 들어줘서 고마워요.
브리아나,덕분에 브리아나로서 삶을 마감할 수 있게 되었어요.
주인장,아닙니다.
주인장,당신의 선택이 최고의 선택이 되기를.
