name,content
주인장,어서오세요
프레드,안녕하십니까…
프레드,혹시 노예 폐지에 대해 어떻게 생각하시나요?
주인장,딱히 별 생각 없습니다.
프레드,우리의 부모라는 사람들은 자신들이 살기 힘들자 노예상인에게 여동생과 저를 팔아 넘겼습니다.
프레드,그렇게 우리는 곡물을 재배하는 농장에 팔려 큰 배를 타고 낯선 곳에 도착하였습니다.
프레드,처음에는 모든 것들이 힘들었습니다. 많이 맞으며 일을 배웠고 며칠 먼저 온 노예들은 선배 노릇을 했습니다.
프레드,그래도 우리의 새로운 주인은 나름대로 대우가 좋았다고 생각합니다. 매 끼니는 아니어도 때가 되면 하루에 2끼 정도는 밥을 주었습니다.
프레드,하지만 식사가 나와도 선배 행세를 하는 노예들이 대부분 빼앗아가서 식사는 극히 소량이였습니다.
프레드,그러던 와중 정부로부터 노예제도 폐지가 전 마을에 공표되었습니다.
프레드,법적으로 노예제도가 완전히 폐지된 이후 주인은 더 이상 데리고 있어도 쓸모가 없어지자 농장에서 우리를 쫓아냈습니다.
프레드,버려진 우리는 끼니를 해결하기 위해 이후 같이 농장에 있던 2명의 노예와 공장에 들어가 일을 하였습니다.
프레드,노예 시설 아무 생각 없이 해가 떠 있을 때만 일만 하면 되었던 생활과 달리 생각을 하며 어떻게든 살아남아야 했습니다.
프레드,또한 공장에서 밤낮없이 계속되는 노동에도 제대로 된 보수는 받아본 적이 없었습니다.
프레드,장소만 다르지 노예 생활을 하던 때와 다르지 않았습니다.
프레드,그 와중에 같이 온 노예 2명은 도박에 빠져 그나마 받은 월급을 한순간에 탕진하였습니다.
프레드,몇 개월 후 산업혁명이라는게 일어나 기계에 밀려 인력을 줄이게 되어 최근 실적이 안 좋게 나온 여동생과 같이 온 2명도 이 일로 인해 잘리게 되었습니다.
프레드,일자리를 잃은 2명은 그동안 모아둔 것이 없다고 하자 선뜻 착한 마음에 돈을 빌려주었습니다.
프레드,처음에는 열심히 노력하는 것이 보였기에 안심했었습니다.
프레드,"그래서 조금만 더 빌려 달라고 했었을 때 아무 의심없이 주었지만, 그 친구들은 받은 척하면서 돌변하더니 저를 넘어뜨렸습니다."
프레드,그러고 나서는 더 흉기로 협박하면서 뜯어내려 했습니다..
프레드,처음에는 무슨 일인지 파악이 잘 안 돼서 어벙벙했지만 이내 정신이 들었습니다.
프레드,별로 있지도 않은 돈이라도 당장 안 주면 그대로 찌를 것 같아서 바로 넘겨주었습니다.
프레드,이 사건이 이후 그 친구들에게 모두 털려 빈털터리가 되었습니다.
프레드,그런 여동생은 일자리를 구하려고 돌아다니다가 달려오는 말에 치여 전신 부상을 입었습니다.
프레드,하지만 돈이 없어 제대로 된 치료를 못 받는 바람에 죽어가는 것을 저는 지켜볼 수밖에 없었습니다.
프레드,저는 여동생이 죽었다는 충격 때문에 일에도 영향이 미쳐 일자리에서도 쫒겨나게 되었습니다.
프레드,저는 더이상 이 세상에서 혼자 살아갈 자신감이 생기지 않습니다…
주인장,...
주인장,당신의 선택이 최고의 선택이 되기를.
