name,content
주인장,어서오세요.
해리슨,여기가 그 유명하다는 가게인가?
주인장,음…적당히 유명합니다.
해리슨,그게 뭔가?! 뭐…그냥 하는 말이었네.
해리슨,일단 여기까지 왔는데 내 이야기 좀 들어줄수있겠나?                                                                                                                                                                                    
주인장,"네. 말씀하시죠, 손님."
해리슨,나는 변방 영토에서 농사를 짓는 소작농이였다네.
해리슨,나는 영주님께 어릴 때부터 내 자신과 내가 정성껏 키운 농작물 모든걸 다 바쳤다네.
해리슨,"좋은 영주님이었어. 확실하게 우리의 안전을 지켜주시고, 땅을 나눠주셨지."
해리슨,그리고 심성도 따뜻 하셨어…
해리슨,하지만 몇년 전 영주님은 섬기는 왕자의 왕위 쟁탈 다툼에서 지고 말았네.
해리슨,영주님이 섬기는 왕자는 배반죄란 명목으로 사형을 당하고 영주님은 자신을 살려주는 대가로 다스리는 영토와 다른 모든것을 넘겨주었다네.
해리슨,지 살겠다고 우리를 판거지. 다 똑같았던거야. 너무 배신감이 들더라고.
해리슨,쨌든 새로운 영주님이 오고 난 후 부터 우리 영지에 피바람이 불기 시작했다네...
해리슨,새로운 영주가 임명 되면서 기존의 규칙들을 자기 사리사욕을 위해 자기 마음대로 바꾸기 시작했고 세금과 물가도 폭등했다네.
해리슨,농사를 지어 세금을 내면 더이상 우리 가족들이 생활 할 여력이 없었네.
해리슨,나도 아이들에게 많은 것을 사주고 싶었지만 너무나도 오른 물가때문에 아무것도 해줄수 없었다네.
해리슨,내 자식들을 위해서 더 열심히 농작을 하려고 했지만 업친데 덮친격으로 그 해의 농사는 가뭄으로인해 망해 버렸다네.
해리슨,그래서 어쩔수 없이 새로운 영주에게 돈을 빌리게 되었다네.
해리슨,처음에는 적은 금액이라 금방 해결 할 수 있을거라 생각했네. 하지만 흉년이 계속 되면서 내일은 어떻게 살아야 할지 걱정만 쌓였네.
해리슨,나는 가족들이 걱정을 할까봐 다른 마을에서 일을 하고 오겠다고  거짓말을 했네. 하지만 그곳에서 가족들 몰래 이곳저곳에서 돈을 빌리고 다녔네.
해리슨,많은 사람들에게 돈을 빌리고 늘어만 가는 차용증을 보면서 감당이 되지 않았네.
해리슨,점점 하루… 하루가 지나면서 이런 사실들을 가족들이 알게 될까봐 조바심이 났다네.
해리슨,가족들은 보고 싶었지만 내겐 그럴 면목이 없었네. 그래서 모두 자고 있을시간때 모아둔 돈과 편지 한 통만을 던져두고 도망쳤다네.
해리슨,그 뒤로 나는 아무도 없는 곳으로 도망치기로 결심을 하고 아무 생각 없이 몇일간 돌아다녔네. 그러던 중에 어릴적 친구도 만났었네. 그 놈 덕에 더욱 살고 싶지않다는 생각만 들게 됐지. 그리고 지금쯤이면 가족들에게 빚더미에 대한걸 들었을지 모른다는 죄책감 때문에 돌아갈순없었네.
해리슨,하.. 나는 옛날이 그립다네. 때때로 영주님도 내려와 일을 하고 있는 우리들에게 인사를 해주고...  그렇게 힘들었지만 즐겁게 살았었네. 우리 버리실줄은 몰랐지만...
해리슨,지금 모든 걸 잃어버린 내가 무슨 소용이 있냐네만 일에만 쏟느라 가족들과 시간도 못보내고 가는게 한이라네.
해리슨,에휴.. 이야기를 들어줘서 고맙네.
주인장,아닙니다. 이야기 해주셔서 감사합니다.
주인장,당신의 선택이 최고의 선택이 되기를.
