name,content
주인장,어서오세요.
노렌,안녕하시오.
노렌,그것보다는 빨리 재미없는 세상에서 해방시켜줄수 있겠나?
주인장,…알겠습니다.
노렌,가장 빨리 죽을 수 있는걸로 주게나.
노렌,...
노렌,주인장... 자네는 사는게 즐겁나? 나는 오래 살아서 그런가 사는게 허무하다네.
노렌,보이다시피 나는 80은 넘은지는 오래지.
노렌,"아들 한놈, 딸 둘이 있네만.."
노렌,딸들은 몇번 온적이 있었던거 같기도 한데 아들놈은 와본적도 없지.
노렌,썩을 놈. 어릴 때 잘해주면 뭐하나.
노렌,내 부인이 병으로 일찍 죽고 반이상은 혼자 살아왔는데 말이야. 지금 돌이키면 생생하게 지나간 시간들 조차도 기억이 난다네.
노렌,빠르게 지나갔던 시간들이 너무 그립다네.
노렌,그녀의 빈자리가 식욕도 없게 만든다네.  며칠을 안먹고 있어도 음식은 들어가지 않았고 점점 아무것도 하기싫더군.
노렌,그 때는 내가 살아있는게 맞는건가 싶었네
주인장,그러시군요.
노렌,… 혹시 자네는 꽃을 좋아하나?
주인장,그저 약의 한종류라 생각합니다.
노렌,낭만이 없군. 나는 나름 해온게 있어서 넓은 대지를 가지고있었네.
노렌,전문가의 솜씨는 아니지만 정원을 가꾸는걸 좋아했네. 유일한 취미였지. 많은 사람들이 와서 내가 가꾼 정원을 구경도 했었네.
노렌,그게 유일한 안식처지...
노렌,하지만 어제 근방에 사는 아이들이 근처에서 불장난을 하다 불이 옮겨 붙어 내 정원이 다 타버렸네.
노렌,내 정원을 보면서 정말 절망적 이었네...
노렌,어떤 사람들보다 부유하게 나는 살았다고 생각하는데 지금 돌아보면 정말 부질이 없다네.
노렌,난 살고자 하는 욕심이 없다네. 충분히 살았어. 이젠 그만 편해지고 싶어…
노렌,조금만 기다려요.. 나도 곧 갈게요..
주인장,...당신의 선택이 최고의 선택이 되기를.
