name,content
리암,이곳인가... 오래 살고 볼 일이군...
리암,여기가 바로 소문의 그 가게인가요?
주인장,"아, 맞습니다. 여기가 그 소문의 가게 입니다. 여기 오시길 원했던거라면 잘 찾아오셨습니다."
리암,그면 제가 잘 찾아왔군요.
리암,다름이 아니라 죽음을 맞이하러 왔습니다.
리암,1년전부터 기억이 온전치 않더라고요.
리암,"깜빡 깜빡 잊었다가 내가 잊었다는 것을 깨달았을 때, 얼마나 식은 땀이 나는지..."
리암,저희 집 앞에 사신 분이 치매에 걸린 것을 본 적이 있습니다.
리암,사실 그 분은 제 동네친구이기도 해요. 그 친구에게 이런 말하기 뭐하지만... 그 병에 걸린 이후 정말 추하게 살게 되더라고요.
리암,물론 그 친구가 그러고 싶어서 그런 것은 아니겠지만.
리암,"아무것도 기억 못하고, 몸은 어른인데 아무것도 모르는 어린애처럼 난장판을 피우니..."
리암,그 친구 그렇게 아무것도 기억하지 못한 채 하늘나라로 갔습니다.
리암,쓸쓸했습니다. 이렇게 가는구나...
리암,그리고 생각했어요. 만약 내가 이 친구처럼 치매가 온다면
리암,"어린애처럼 되기 전에, 모든 기억을 잃기 전에 죽겠다고."
리암,"내 기억을 온전히 가진 체, 내가 누구인지 아는 상태에서 죽음을 맞이하고 싶었습니다."
리암,지금이 그 때인 것 같습니다.
리암,내 마지막을 이런 곳에서 죽을지 어떻게 알았겠습니까
리암,젊은 시절 이후로 지루했던 내 노년시절을 어린아이나 믿을 법한 소문의 가게에서 마무리하다니.
리암,허허. 시원씁쓸한게 조금은 두렵기도 하지만
리암,내 삶의 마지막을 내가 결정하는 이 느낌도... 나쁘지 않네요.
리암,소문의 가게에서 죽음을 맞이한다는 것이 마치 동화나 소설같기도 하고. 허허.
리암,참...
리암,행복한 삶이었습니다.
주인장,당신의 선택이 최고의 선택이 되기를.
