name,content
마야,흑흑... 흑흑흑
마야,흑흑흑... 흑흑.. 흑
주인장,... 휴지 여기 있습니다.
주인장,물 한 잔 드릴까요?
마야,흑흑... 네 감사합니다...
마야,닉... 닉! 왜.. 왜...
주인장,진정 되셨나요?
마야,네...
마야,"오늘...하나뿐인 제 가족, 내 사랑스러운...내..동생이 죽었어요."
마야,인정하고 싶지 않았어요...닉이 죽다니.
마야,"전쟁으로 부모님을 잃고 저희 둘만 남게 되었을 때, 제가 동생을 무슨 일이 있어도 지켜야 된다 결심했어요. "
마야,"너무나도 슬프고 슬펐지만, 부모님이 보고 싶었지만...나에겐 동생이 있으니깐 정신을 단단히 붙잡았죠."
마야,"하지만 동생은 부모님을 잃고 난 후, 정신적으로 불안해 보였어요. 그래도 서로 고칠려고 노력했고, 서로 기대며 앞으로 나아갔죠..."
마야,우울하고 무기력한 닉을 웃게 할려고 많은 노력을 했었고 최근에 좋아보였는데...
마야,갑자기 이렇게 이별이라니...
마야,"동생의 죽음이...최근 브리아나의 죽음 소식을 듣고, 동생이 죽음을...죽음...그..결심한게 아닐까 생각해요...흑..."
마야,계속 무기력하다 브리아나의 노래를 듣고 조금씩 웃기 시작했거든요.
마야,왜...대체 왜...죽은...왜...닉..!
마야,"너가 있어서 내가 버티었고, 살아갔는데...애써..애써 마음에 우겨넣으며 묻은 부모님의 죽음에 대한 감정, 당장 어떻게든 살아야 되겠다는 부담감, 주인 아주머니 눈치 보면서 얹혀사는 집...나혼자였으면 너무나도 버티기 힘들었을텐데."
마야,"이젠 너가 없으니...애써 못 본 척 묻어둔 감정이, 언제터질지 모를 폭탄 같았던 그 감정들이 터져나와."
마야,"머리가 눈물로 녹아내리고, 마음이 찢어지는 듯해. 닉..."
마야,닉…보고싶어.
마야,어차피 너가 있기에 살았던 거였어. 난 이제 살 이유가 없어. 살아도 사는 것 같지 않을 것 같아.
마야,닉. 내가 같이 가줄게. 내가 함께 가줄게...
마야,외롭지 않게...너도 나도...
마야,같이 부모님 만나러 가는거야.
마야,주세요...이제
주인장,... 당신의 선택이 최고의 선택이 되기를.
