name,content
주인장,어서오세요
마일즈,...네
주인공,너무 불안해 보이는군'
주인공,여기에 앉으시면 됩니다.
마일즈,...
주인공,손님...?
마일즈,아...! 제가 요즘 제정신이 아니여가지고.
마일즈,...살아서 돌아왔지만 사는 것 같지가 않아요.
마일즈,"전쟁이 끝나고, 계속 누군가가 나를 불러요. 심지어 보이기도 해요."
마일즈,낮에도 말을 걸지만 밤이 되면 더 심해지는 것 같아요. 잠도 안 자는데 악몽을 꾸는 것 같아요.
마일즈,"나한테 계속 ""넌 살아있으면 안돼"", ""날 두고 가지마"", ""살려달라 말했잖아"" 계속 귀에다가 소리쳐요..."
마일즈,"제발 들리지마. 제발! 난, 난...!"
마일즈,난 동료들을 죽게 하지 않았어. 난 최선의 선택을 한거야...아니라고.
마일즈,"시끄러워...조용히 해...미안해..미안하니깐, 정말로 미안하니깐 조용히 해줘 제발."
마일즈,히힉!!
마일즈,"당신...! 당신 뒤에! 뒤에 있다고! 나를 괴롭히는 존재가. 여기까지 따라오다니. 미안, 기분 나쁘다는거 아니야."
마일즈,"아니야, 아니야 미안해. 제발 날 괴롭히지 말아줘. 그건 최선이었다고. 너도 알잖아. 전장에서는..."
마일즈,그러니깐 제발 떠나. 나한테서 떠나줘. 떠나라고!!!
마일즈,"오지마, 말하지마, 그냥 제발 가!"
마일즈,"안돼....안돼...! 여기서 빨리, 빨리 벗어나야 해."
마일즈,빨리 약을 줘!
주인장,알겠습니다.
주인장,당신의 선택이 최고의 선택이 되기를.
