name,content
주인공,어서오세요.
벤,여기가 소문의 자살가게인가 보군.
주인공,네. 맞습니다.
벤,내가 정말로 죽고 싶었나 보군.  이 가게에 오게 되다니.
벤,주인장! 소문처럼 내 이야기 한 번 들어보소.
주인장,네 말씀하시죠.
벤,삶은 참 불공평하단 말이지.
벤,"열심히, 그렇게 열심히 살았는데"
벤,결국 현실의 벽이 모든 것을 부수더라고.
벤,뭘 믿고 열심히 살았는지...
벤,"나는 그저 행복하길 원했어. 적당한 직업에 적당한 집, 적어도 밥 걱정 없이 살 정도로만 사는 것이 내 꿈이었는데."
벤,집 하나 구하기가 이렇게 어려울 줄이야.
벤,"마치 '넌 죽었다 깨어나도 못 사', '불가능이야' 라고 압박하는 느낌이야."
벤,대출에 집안의 빚까지. 난 언제 돈의 굴레에서 해방 되는 것일까.
벤,어쨌든 그래서 열심히 일했지. 처음엔 열정도 가지고 희망도 가지면서.
벤,하지만 어머니께서 사기를 당하고 빚은 더욱 더 늘어났어.
벤,정말 미칠 노릇이었지. 집은 커녕 지금 당장 갚아야 할 빚이 계속 늘어나니깐.
벤,반 자포자기 상태였는데 하늘이 도와주더라고.
벤,날 완전히 포기하도록.
벤,어머니는 집을 나가...아니 저 하늘나라로 가신 것 같아. 내 직감이 그래...
벤,이젠 나 혼자야. 아니 빚과 함께인가...
벤,"밥부터 잠까지, 결혼, 내 시간, 내 행복까지 포기하게 만들더니"
벤,이렇게 나를 포기하게 만드는구나.
벤,삶이 참...퍽퍽하다. 그 어디에도 없었던거야.
벤,"내 희망, 내 꿈, 내 미래..."
벤,태어날 때부터 정해진거였어. 난 가난과 돈의 굴레에서 계속 살아야하는 팔자였던거야.
벤,"당장 갚아야할 어마무시한 빚, 어머니의 죽음...그리고 해고까지."
벤,오늘 해고 당했거든.
벤,"하하...그래, 오늘 이대로…드디어 죽는거야. 이 지긋지긋한 굴레에서 해방 되는거야."
벤,그렇게 이곳까지 오게 됐어.
벤,그럼...이야기 들어주어서 고맙네.
벤,죽음만큼은 삶보다 덜 고통스럽게.
벤,고통없게 부탁하네.
주인공,알겠습니다.
주인공,지금 당신의 선택이 최고의 선택이 되기를.
