name,content
주인장,어서오세요.
애런,안녕하세요.
엘리,안녕하세요.
주인장,여기에 앉으시면 됩니다.
엘리,우리는 서로 너무나 사랑하는데 현실에서는 떼어 놓으려고 해요. 그래서 같이 죽기로 결심했어요.
애런,저는 왜 귀족으로 태어난걸까요..?
엘리,그런 말 하지마...이건 어쩔 수 없는 우리의 운명이야.
애런,신분의 차이 때문에 사랑을 할 수 없다는게 너무 괴롭습니다...
애런,저에게는 이미 정혼자가 있다는 건 알고 있었습니다. 저보다 더 지위가 높은 집안이에요.
애런,하지만 결혼 상대가 어떤 분인지는 모르겠지만 저는 부모님끼리 맘대로 정한 결혼은 싫었습니다. 그래서 생각을 정리한다는 핑계로 도망쳤습니다.
애런,저에게 주어진 시간은 성인이 될 때까지였죠. 그리고 저는 엘리를 만났어요.
애런,2년전 신분을 숨기기 위해 종착지 없이 말을 타며 혼자 여행을 하고 있었습니다.
애런,도중에 작은 개울을 건너고 있었는데 갑자기 몸이 말과 멀어지는 겁니다.
애런,그 뒤로는 기억이 안났죠.
엘리,그 당시에 저는 옆마을로 심부름을 가고 마을로 돌아가는 길이었어요.
엘리,그런데 앞쪽에서 큰 물체같은 것이 순식간에 날아간 것을 보았어요. 그래서 뭔가 싶어서 황급히 달려갔어요.
엘리,그 곳에는 한 잘생긴 남자가 내동댕이 쳐져있었어요.
엘리,외관상 피는 심하게 나지 않았지만 발목이 심하게 돌아갔어요. 그래서 제가 최대한 응급치료만 하고 정신을 차릴 때까지 곁에 있었어요.
엘리,그 후 부축을 하면서 인근 마을에 있는 의원까지 갔어요.
엘리,의사 선생님께서는 완전한 치료를 위해 몇 달간 마을에 머물러야하나고 했죠.
엘리,"그래서 그날 이후 걱정도 되고, 또 심심할까봐... 자주 방문을 했었어요."
애런,아는 이 한명 없는 마을에서 무료하고 외로울 수 도 있었을 것 같은데 엘리가 계속 와준 덕분에 정말 즐겁게 보냈습니다.
애런,엘리는 제가 밖에 나갈 수 없어서 필요한 물건을 사오거나 재미있는 이야기를 들려줬습니다. 
엘리,시간이 흐르고 거의 치료가 끝날쯤에 저는 엘리에게만 신분을 몰래 밝혔어요.  동시에 청혼도 했었죠.
엘리,그때는 정말 놀랐어요. 하지만 그럴거 같다고는 예상하고 있었어요. 처음 봤을 때 평민 치고는 너무 복장이 단정했고 말투도 우리와 뭔가 조금 달랐어요.
엘리,그런 애런에게는 며칠간 청혼에 대해 생각할 시간을 달라고 했어요.  하지만 그 사이에  애런이 잡혀 돌아갔었어요.
애런,고향으로 돌아간 뒤에는 항상 엘리를 그리워했습니다.
애런,그래서 부모님에게 용기내어 전부 말했습니다.
애런,하지만 부모님은 듣고 어이 없다는 듯이 화를 냈습니다. 어떻게 평민과 결혼할 생각할 수 있냐고 꾸짖었죠.
애런,그럼에도 제가 싫다고 하자 방에 가두고 결혼과 그녀의 죽음에서 결정 하라고 했었어요.
애런,저는 좌절했지만 친구가 이 이야기를 엿듣고 저를 몰래 풀어줬습니다.
애런,그 후 저는 병사들보다 먼저 마을에 도착해 엘리에게 급히 설명하고 함께 도망쳤습니다.
애런,마을에 접근 할 때 잡힐뻔한 일들이 많았지만 둘이 있으면 즐거웠습니다. 
애런,하지만 이 시간도 그리 오래 가지 못했습니다. 몇개월 정도가 흘렀을쯤 우리는 도망다니는것에 너무 지쳤습니다.
애런,그리고 결혼식의 시간이 별로 안남자 부모님은 더욱 샅샅이 수색을 했습니다.
애런,그래서 저는 부모님에게 잡혀 엘리를 잃고 헛된 결혼을 할바에는 함께 죽기로 결심했습니다.
엘리,저도 애런의 의견에 동의했습니다.
애런,"그러던 중, 마침 들른 마을에서 이 가게에 대한 소문을 들었습니다. "
애런,저희는 그냥 속는셈치고 와봤습니다. 그런데 이런 가게가 진짜있어서 조금 놀랐습니다.
애런,다음생에는 신분 차별이 없는 세상에서 엘리을를 만나 자식들과 함께 즐겁게 살고 싶네요.
엘리,저는 다음생에도 애런을 만날 수있거라고 믿어요. 그렇죠?
애런,그럴거라 믿어요. 그럼 안녕...엘리..
엘리,또 봐요.. 애런
주인장,당신의 선택이 최고의 선택이 되기를.
