name,content
주인공,오늘은 아이가 왔네...'
이든,안... 안녕하세요.
이든,어... 그니까 정말로 소문처럼 아프지 않게 죽을 수 있는거죠?
주인공,"당연하죠. 걱정 마세요, 어린 친구."
이든,"그렇군요, 감사합니다."
이든,음... 사실... 어 그러니깐..
주인공,여기 따듯한 물입니다. 긴장하셨군요.
이든,네 고맙습니다.
주인공,편히 말씀하세요. 어떤 이야기라도 상관 없답니다.
이든,음... 사실...
이든,너무...힘들어요
이든,죄송해요. 다짜고짜 울면서 힘들다고 해서.
이든,아무도 날 필요로 해주지 않는 것 같아요.
이든,날 사랑해주지 않는 것 같아요.
이든,내 존재가 쓸모없는 것처럼 느껴져요. 나의 존재에 의문이 생겨요.
이든,저희 집은 부모님이 자식 공부에 대한 열정...아니 집착이 심해요.
이든,숨이 턱턱 막히는 그 집.
이든,조금이라도 내가 공부 이외의 다른 행동을 하면 쥐잡듯이 날 혼내요.
이든,"괴로워요. 너무 너무 힘들고, 무섭고 괴로워요."
이든,완벽을 추구하시는 부모님께서는 내가 마음에 들지 않으신가봐요.
이든,"그래도 저 열심히, 정말 열심히 공부했어요."
이든,반 1등은 당연하고 전교 1등도...매번은 아니지만 그래도 2등 아래로 떨어진 적은 없어요.
이든,전 잘했다고 생각하는데 부모님은 아니신가봐요.
이든,전교 1등했을 때 기뻤어요. 저는 부모님께서 잘했다고 칭찬해주실줄 알았어요.
이든,"하지만 부모님은 만족하지 못했나봐요. 저한테 ""만족하면 안돼. 이도저도 아닌 사람 되지 말거라. 그냥 그저그런 1등이면 안돼. 압도적인 1등이 되어야해. 그 누구도 따라잡을 수 없을 정도로."""
이든,라고 말하더라고요...너무나도 차갑게
이든,1등일 때도 이랬는데 전교 2등으로 떨어졌을 때는...그때는 정말...!
이든,처음으로....처음으로 부모님께 맞을 뻔했어요. 하지만 다행히 맞지는 않았어요. 대신
이든,감금 당했죠.
이든,집에 돌아다닐 수는 있었어요. 대신 밖에 나가지말고 갖다주는 밥이나 먹으면서 공부만 하라는거죠.
이든,"하지만 나름 반항한다고 방 밖에서 그냥 안 나갔어요. 그 방 안에서 3일 내내 운 기억밖에 없어요. 화나서 울고, 억울해서 울고, 답답해서 울고."
이든,슬픔과 분노 밖에 없던 끔찍했던 시간이었어요.
이든,강금이 끝나고 첫 저녁식사에서 아버지가 저한테 말씀하신 말이 있어요. 
이든,"""너만 잘하면 된다. 우리 가문의 오점이 되지 말거라. 다음 번에는 감금으로 넘어가지 않을 것이다."
이든,"물론 이 아비는 네가 두 번 다시 이런 일을 만들지 않을거라 믿는다...지금은 너가 날 이해하지 못한다해도 다 널 위한 것이다."""
이든,이 저녁식사의 말씀 덕분에 부모님에 대한 어떠한 감정도 남지 않더라고요.
이든,"반성이라곤 보이지 않고, 날 위한 것이라면 책임회피 하는 저 가증스럽고 역겨운 모습을 보니 이젠 아무 생각이 들지 않아요."
이든,…하
이든,이제 약을 달라고 할려고 했는데... 그럴려고 했는데...
이든,여기 들어오기까지만 해도 너무 살기 싫었는데
이든,"누가 날 막아줬으면 좋겠어, 누가 날 말려줬으면 좋겠어, 누가 날 알아줬으면 좋겠어...!"
이든,"아니야, 이든. 넌 여기까지 왔어. 어차피 아무도 널 필요로 하지 않아. 널 보는 사람은 없어."
이든,이렇게 결심하고 결심했던 이 순간에 고민이라니...
주인장,...죽음은 강요하지 않습니다. 저희 가게는.
이든,네...?하지만 여기 오면 꼭 죽어야 하는거 아닌가요...?
이든,"분명 저희 가게는 죽음과 가까운 사람, 죽음을 원하는 사람만이 올 수 있죠."
주인장,당신 또한 죽음을 간절히 바래서 온 것은 확실합니다.
주인장,그렇다고 꼭 죽어서 이 가게를 나가라는 법은 없습니다.
주인장,살아감을 택한 사람이 있기에 소문이 있는 것이 아닐까요?
이든,...
이든,그렇군요. 그래...그렇구나. 그면 저는
이든,죄송합니다. 이렇게 울고불고하며 별별 이야기를 말했는데
이든,아직 고민하고 있나봐요. 아직은...
이든,죄송합니다. 이렇게 울고불고하며 별별 이야기를 말했는데
이든,아직 고민하고 있나봐요. 아직은...
주인장,"그렇군요. 방문해주셔서 고맙습니다, 이든."
주인장,당신이 이 가게에서 겪은 모든 일들은 말하든 말든 당신의 자유입니다.
주인장,그럼 만약 재방분 하실 때 만나죠.
주인장,당신의 선택이 최고의 선택이 되기를.
