name,content
주인장,어서오세요.
케이트,안녕..하세요…
케이트,"모든 것을, 모든 것을 잊을 만큼 독한 약이 필요해요."
케이트,알겠습니다.
케이트,모두가... 절 믿어주지 않아요..
케이트,"저는요… 잘못 하지 않았어요, 결백해요..."
케이트,저희 마을에 조금 부유한 애들이 모여있는 그룹이있는데요.
케이트,그 무리에 있는 아이들 중 한 애가 좋아하는 남자가 있었어요...
케이트,좋아하는지도 몰랐어요. 어차피 그 얘들이랑도 친하지도 않고.
케이트,제가 옆 마을에 일이 있어 그쪽 마을 사람들과 같이 일을 하던 날이었어요.
케이트,그 때 그 얘가 좋아하는 남자 얘도 같이 일을 했었어요.
케이트,저희 마을에서 옆마을을 도와줄 인력을 뽑아 소수로 같이 갔거든요.
케이트,일을 하다 그 남자가 다친 것을 봤어요. 그래서 도와줬죠. 그냥 손수건 하나 둘러줬어요. 
케이트,그게 문제였나봐요.
케이트,도와준 계기로 그 친구랑 친해졌어요. 그저 친구로서요.
케이트,저도 좋은 친구가 생긴 것 같아 좋았어요.
케이트,근데 그걸 그 남자를 좋아하는 얘가 있는 무리들 중 한명이 봤나봐요.
케이트,그리고 그것을 본 얘는 그 남자를 좋아하는 얘한테 이야기 하고
케이트,그 얘는 저에 대한 안 좋은 소문을 퍼뜨리기 시작했죠.
케이트,저도 그 소문 듣고 알았어요. 그 친구가 이 남자를 좋아한다는 것.
케이트,그리고 제가 마녀였다는 것도요.
케이트,제가 마녀라고 소문을 퍼뜨려 더라고요.
케이트,처음에는 그룹안에서만 길에서 마주치면 저한테 욕하고 괴롭히기만 했어요. 근데 어느날부터 소문이 점점 퍼져 마을 아이들이 저를 마녀라고 부르기 시작하면서 돌멩이를 던졌어요.
케이트,그래서 오해를 풀려고 했지만 무시당하기만 했어요...
케이트,결국 모든 마을사람들이 알게 되었고 점점 집을 나가기가 무서워 지기 시작했어요. 
케이트,때때로 창문으로 밖을 슬쩍 볼때 지나가는 사람들이 저를 웃으며 쳐다보는 것 처럼 느껴져서 숨기만 했어요.
케이트,매일 마을사람들은 저녁마다 몰려와 부모님에게 항의를 하고 아이들은 집을 향해 돌멩이를 던져 됐어요.
케이트,가족들은 정화를 하러가자며 문을 두드렸고 저는 정말 미칠 것 같았어요.
케이트,혼자 누워 생각을 할때마다 그 망할 여자를 저주하고 저주하고 싶었어요. 그리고 결국 제가 그 남자를 왜 도와줬나 생각하며 나를 원망하게 되어요. 제가 정말 마녀가 된 것 같았어요.
케이트,저는 더 이상  자신말고 사람을 믿을 수 없게 되었어요.
케이트,"내가 어떤 말을 해도 믿지 않고, 듣고 싶어하지도 않아요."
케이트,계속 이렇게 있다가는 마을 사람들에게 끌려가 고통스럽게 죽겠다는 미래에 대한 두려움과 불안 때문에 집에서 그대로 뛰쳐나왔어요.
케이트,마을을 나와도 주변의 나무들과 멀리 있는 사람들도 저에 대해 이야기 하는 것 같아 무서워져 정신없이 달리다보니 가게 앞에 와있었어요.
주인장,그렇군요.
주인장,알겠습니다.
주인장,당신의 선택이 최고의 선택이 되기를.
