name,content
아도라,안녕하세요~
주인장,그래.
주인장,".... 아도라, 미안한데."
주인장,아니... 그게 심심하기도 하니깐
주인장,혹시 이거라도 닦으면서 있을래?
주인장,내가 지금 당장 너와 같이 이야기할 수 있는 상황이 아니여 가지고.
주인장,괜히 딴 물건 만지지 말고 이거 닦으면서 기다려주렴.
주인장,"오자마자 미안하구나, 끝나면 맛있는거 줄게."
아도라,"그래, 상관없어요! "
주인장,고맙다.
아도라,쓱싹쓱싹~열심히 닦아요~반짝반짝~깨끗이 닦아요~
아도라,아저씨! 다 끝냈어!
주인장,아도라…! 정말..빛이나는구나!
아도라,열심히 했어! 어때? 잘했지?
주인장,"정말 고마워, 진행 중인 약실험이 있어가지고."
주인장,"그래, 내가 맛있는 거 준다고 했지?"
주인장,"여기, 오렌지 주스하고 쿠키세트 먹으렴."
아도라,와...!
아도라,오렌지 주스! 오렌지 주스! 쿠키까지!!
아도라,이거 먹기 힘들어. 자주 안 준다 말이야.
아도라,맛있게 잘 먹겠습니다!
아도라,음~새콤하고 역시 달콤해!
아도라,"너무 맛있어, 아저씨!"
아도라,약도 이렇게 맛있으면 얼마나 좋을까?
아도라,내가 아팠을 때 무지무지 쓴 약을 먹었거든.
아도라,많이 안아픈데 꼭 시럽을 먹어야 한데.
아도라,난 써가지고 싫은데~.
아도라,오렌지 주스랑 섞어 먹으면 맛있을까?
주인장,...!
주인장,"아도라, 절대 그렇게 먹으면 안돼. 그러면 위험해!"
아도라,깜…깜짝이야!
주인장,약은 약사님이 말하는대로 마시렴.
주인장,"안 그럼, 아픈 일이 생길거야."
아도라,"알겠어요, 아도라 잘못했어요…"
주인장,아..아니 그게
아도라,나쁜건지 몰랐어요.
주인장,"아니다, 갑자기 놀래켜서 미안하구나."
주인장,오늘 도와줘서 정말 고마워.
아도라,"그면, 아도라 이제 가볼게. 안녕히 계세요~"
주인장,나는 왜 이렇게 놀랐던거지...? 으윽 또 두통이..'
