name,content
이든,안녕?
이든,정말 오랜만이야.
이든,나?
이든,난 잘 지내.
이든,그 뒤로 아버지와 어머니를 용서하기로 결정했어.
이든,부모님은 정말로 반성했고 그 뒤로 나를 정말로 사랑으로 키워주셨어.
이든,그래서 난 지금 무역상인이 되었어.
이든,어렸을 때 부터 세계에 관심이 많았거든.
이든,"무역상인이 되겠다고 말했을 때, 부모님은 정말로 나를 응원해주셨어."
이든,예전같았으면 생각지도 못할 일이지!
이든,자살가게는…
이든,사라진 것 같아.
이든,어느 순간부터 소문이 확 줄더니.
이든,그저 과거가 되어버렸어.
이든,정말로 자살가게를 ‘방문한’ 사람들이 이젠 더 이상 없는거야.
이든,"그저 사람들에게 있어 지나가는, 잊혀지는 과거가 되어버린거지."
이든,이젠 나밖에 모르는 것 같아.
이든,어릴 적 믿지 못할 사건을 만들어준 자살가게.
이든,나라도 그 가게를 기억하고 있어야지.
이든,덕분에 새로운 삶을 살 수 있게 되었어.
,(시끄러운 인파)
???,잠시만요 지나갈게요!
이든,새로운 삶을 산 사람은 나뿐만이 아닐지도 모르지.
