name,content
주인장,어서오세요.
해리슨,여기가 그 유명하다는 가게인가?
주인장,유명.. 한가요?
해리슨,글쎄..? 그냥 해본 소리 라네..
주인장,어떻게 오셨나요?
해리슨,뭐 하러 왔겐나? 죽으러 왔다네.
주인장,원하시는게 있으신가요?
해리슨,하지만 그냥 일단 내 이야기좀 들어줄수있게나?
주인장,네. 그렇게 하죠. 
해리슨,나는 변방 영토에서 농사를 짓는 소작농이였다네.
해리슨,나는 영주님에게 어릴 때부터 내 자신과 내가 정성껏 키운 농작물 모든걸 다 바쳤다네.
해리슨,가족들도 내팽겨치고 영주님을 위해서 열심히 했네.
해리슨,하지만 몇년 전 영주님은 섬기는 왕자의 왕위 쟁탈 다툼에서 지고 말았네.
해리슨,영주님이 섬기는 왕자는 배반죄란 명목으로 사형을 당하고 영주님은 자신을 살려주는 대가로 다스리는 영토와 다른 모든것을 넘겨주었다네.
해리슨,그 이후 부터 우리 영지에 피바람이 불기 시작했다네.
해리슨,새로운 영주가 임명 되면서 기존의 규칙들을 자기 사리사욕을 위해 자기 마음대로 바꾸기 시작했고 세금과 물가도 폭등했다네.
해리슨,농사를 지어 세금을 내면 더이상 우리 가족들이 생활 할 여력이 없었네.
해리슨,나도 아이들에게 많은 것을 사주고 싶었지만 너무나도 오른 물가때문에 아무것도 해줄수 없었다네.
해리슨,내 자식들을 위해서 더 열심히 일을 하려고 했지만 그 해의 농사는 가뭄으로인해 망해 버렸다네.
해리슨,그래서 어쩔수 없이 새로운 영주에게 돈을 빌리게 되었다네.
해리슨,처음에는 적은 금액이라 금방 해결 할 수 있을거라 생각했네. 하지만 흉년이 계속 되면서 내일은 어떻게 살아야 할지 걱정만 쌓였네.
해리슨,나는 가족들이 걱정할까봐 이웃마을에서 돈을 벌고 오겠다고 거짓말을 했네. 하지만 그곳에서 가족들 몰래 이곳저곳에서 돈을 빌리고 다녔네.
해리슨,많은 사람들에게 돈을 빌리고 늘어만 가는 차용증을 보면서 감당이 되지 않았네.
해리슨,점점 하루… 하루가 지나면서 이런 사실들을 가족들이 알게 될까봐 조바심이 났다네.
해리슨,가족들은 보고 싶었지만 내겐 그럴 면목이 없었네. 그래서 모두 자고 있을시간때 모아둔 돈과 편지 한 통만을 던져두고 도망쳤다네.
해리슨,그 뒤로 나는 아무도 없는 곳으로 도망치기로 결심을 하고 아무 생각 없이 몇일간 돌아다녔네.
해리슨,그러던 중에 어릴적 친구도 만났었네. 그 놈을 만나 대화를 하다보니 더욱 살고 싶지않다는 생각만 들게 됐지. 그리고 지금쯤이면 가족들에게 빚더미에 대한걸 들었을지 모른다는 죄책감 때문에 돌아갈순없었네.
해리슨,하.. 나는 옛날이 그립다네. 때때로 영주님도 내려와 일을 하고 있는 우리들에게 인사를 해주고...  그렇게 힘들었지만 즐겁게 살았었네. 
주인장,그러셨군요.
해리슨,지금 모든 걸 버리고 온 내가 무슨 소용이 있냐네만 하지만 일에만 쏟느라 가족들과 시간을 못보내고 가는게 약간의 한이 있다네.
해리슨,에휴.. 이 빌어먹을 이야기를 들어줘서 고맙네. 
주인장,그럼 어떻게 해드릴까요?
해리슨,나에게 고통은 있더라고 빨리 죽을 수 있는 약을 주게.
해리슨,그럼 이만 슬슬 가보겠네.  수고하게...
,(꿀꺽 꿀꺽)…
주인장,네… 안녕히가세요.
